id;numvoie;typevoie;libvoie;cp;commune
PC07233721Z0004-0;11;RUE;DES CYTISES;72130;SOUGE LE GANELON
PC07233721Z0004-2;11;;RUE DES CYTISES;72130;SOUGE LE GANELON
PC07233821Z0006-0;6;RUE;MARTFELD;72650;LA BAZOGE
PC07233821Z0006-2;2;;CHAMP LONG;72380;SOUILLE
PC07233821Z0007-0;;;10 LE CHAMP DE DEVANT;72380;SOUILLE
PC07233821Z0007-2;10;;LE CHAMP DE DEVANT;72380;SOUILLE
PC07234021Z0015-0;15;ROUTE;des Chapuisières;72380;JOUÉ-L'ABBÉ
PC07234021Z0015-2;9;RUE;LOUIS-RAPHAEL DU MESNIL;72290;SOULIGNÉ-SOUS-BALLON
PC07234021Z0016-0;42;RUE;du Général de Gaulle;72260;MAROLLES-LES-BRAULTS
PC07234021Z0016-2;13;ROUTE;DES CRETES;72290;SOULIGNE SOUS BALLON
PC07234121Z0002-0;;;tesse;72370;SOULITRÉ
PC07234121Z0002-2;;;CHAMP DE LA GRANDE ALLEE;72370;SOULITRÉ
PC07234121Z0003-0;;;9 ROUTE DU BREIL;72370;SOULITRE
PC07234121Z0003-2;9;ROUTE;DU BREIL;72370;SOULITRÉ
PC07234121Z0005-0;5;ROUTE;DU BREIL;72370;LE BREIL SUR MERIZE
PC07234121Z0005-2;5;ROUTE;DU BREIL;72370;SOULITRÉ
PC07234121Z0006-0;;LIEU-;La Bohardière St Laurent;49290;MAUGES SUR LOIRE
PC07234121Z0006-2;;;LA SAPINIERE;72370;SOULITRÉ
PC07234121Z0007-0;;LIEU-;LES SABLONS;72370;SOULITRÉ
PC07234121Z0007-2;;;LES SABLONS;72370;SOULITRÉ
PC07235020Z0021-0;;LIEU-;LA HOULBARDIERE;72220;TELOCHE
PC07235020Z0021-2;;;LA HOULBERDIERE;72220;TELOCHE
PC07235021Z0013-0;13;RUE;PAUL MEYAN;78510;TRIEL SUR SEINE
PC07235021Z0013-2;10;CHEMI;DE LA ROCHE;72220;TELOCHE
PC07235021Z0014-2;10;CHEMI;DE LA ROCHE;72220;TELOCHE
PC07235021Z0034-0;15;RUE;DU 8 MAI;72220;TELOCHE
PC07235021Z0034-2;;;PLACE DES OLYMPIADES;72220;TELOCHE
PC07235021Z0035-0;5;RUE;DE PIED SEC;72100;LE MANS
PC07235021Z0035-2;16;RUE;DES BLEUETS;72220;TELOCHE
PC07235021Z0036-0;4;RUE;PIERRE MENDES FRANCE;72230;MULSANNE
PC07235021Z0036-2;13;RUE;DES BLEUETS;72220;TELOCHE
PC07235021Z0037-0;12;ALLEE;DES LORIOTS;72560;CHANGE
PC07235021Z0037-2;40;RUE;DES BLEUETS;72220;TELOCHE
PC07235021Z0040-0;21;BOULE;PIERRE LEFAUCHEUX;72000;LE MANS
PC07235021Z0040-2;17;RUE;DES BLEUETS;72220;TELOCHE
PC07235021Z0043-0;8C;RUE;DU PRIEURE;72220;TELOCHE
PC07235021Z0043-2;8;;RUE DU PRIEURE;72220;TELOCHE
PC07235021Z0044-0;87;RUE;DES CHARMES;72100;LE MANS
PC07235021Z0044-2;3;RUE;DES BLEUETS;72220;TELOCHE
PC07235121Z0001-2;;;LE CHAMP LONG;72240;TENNIE
PC07235121Z0003-0;16;IMPAS;DES NOISETIERS;72540;LOUE
PC07235121Z0003-2;;LIEU-;lot 6 lotissement de La Vi;72240;TENNIE
PC07235121Z0004-0;;;LE BAS PRIEURE;72240;TENNIE
